Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
0	-22.76846	-22.61546	-0.1530023	0.358301	1.58646	1.58646	0.05843221	0.6320091	0.2252202	0.08433849	0.0584322	0	0.632009	0.22522	0	0.0843385	0.0584322	0.632009	0.22522	0.0843385
100	-17.9534	-18.25744	0.3040416	1.325098	0.16262	0.16262	0.2768871	0.2666646	0.2497343	0.2067139	0.276887	0	0.266665	0.249734	0	0.206714	0.276887	0.266665	0.249734	0.206714
200	-22.61913	-22.52327	-0.09585244	1.679075	0.208537	0.208537	0.120155	0.6388353	0.1101977	0.130812	0.120155	0	0.638835	0.110198	0	0.130812	0.120155	0.638835	0.110198	0.130812
300	-26.98315	-26.42491	-0.5582369	1.448225	0.901772	0.901772	0.09149554	0.3119161	0.528055	0.06853339	0.0914955	0	0.311916	0.528055	0	0.0685334	0.0914955	0.311916	0.528055	0.0685334
400	-18.72545	-17.91618	-0.8092655	1.842982	0.758043	0.758043	0.1563193	0.5569838	0.160691	0.1260059	0.156319	0	0.556984	0.160691	0	0.126006	0.156319	0.556984	0.160691	0.126006
500	-20.84073	-18.28574	-2.554994	3.927425	0.419329	0.419329	0.01211613	0.5114101	0.4398553	0.03661846	0.0121161	0	0.51141	0.439855	0	0.0366185	0.0121161	0.51141	0.439855	0.0366185
600	-21.2429	-20.29655	-0.9463432	1.505885	1.23222	1.23222	0.0898938	0.618835	0.2848438	0.006427462	0.0898938	0	0.618835	0.284844	0	0.00642746	0.0898938	0.618835	0.284844	0.00642746
700	-16.16746	-15.08606	-1.081394	2.308576	0.564577	0.564577	0.06722819	0.3302727	0.5962744	0.006224711	0.0672282	0	0.330273	0.596274	0	0.00622471	0.0672282	0.330273	0.596274	0.00622471
800	-15.66776	-15.88678	0.2190212	1.395425	0.177313	0.177313	0.1598253	0.308608	0.3696662	0.1619005	0.159825	0	0.308608	0.369666	0	0.161901	0.159825	0.308608	0.369666	0.161901
900	-14.1331	-12.87354	-1.259561	2.873355	0.177966	0.177966	0.05126296	0.631368	0.2981191	0.01924998	0.051263	0	0.631368	0.298119	0	0.01925	0.051263	0.631368	0.298119	0.01925
1000	-25.19985	-24.59596	-0.6038859	1.893485	0.50216	0.50216	0.1953339	0.4020357	0.2508353	0.1517951	0.195334	0	0.402036	0.250835	0	0.151795	0.195334	0.402036	0.250835	0.151795
